Customer ID,Campaign,Callout text
XXX-XXX-XXXX,Search_Entretien_Nonancourt,81 avis 5/5 sur Google
XXX-XXX-XXXX,Search_Entretien_Nonancourt,Devis gratuit
XXX-XXX-XXXX,Search_Entretien_Nonancourt,Dépannage 24 h/24
XXX-XXX-XXXX,Search_Entretien_Nonancourt,14 ans dans l'Eure
XXX-XXX-XXXX,Search_Entretien_Nonancourt,Intervention 7 j/7
XXX-XXX-XXXX,Search_Entretien_Nonancourt,Chantier laissé net
XXX-XXX-XXXX,Search_Urgence_Nonancourt,81 avis 5/5 sur Google
XXX-XXX-XXXX,Search_Urgence_Nonancourt,Devis gratuit
XXX-XXX-XXXX,Search_Urgence_Nonancourt,Dépannage 24 h/24
XXX-XXX-XXXX,Search_Urgence_Nonancourt,14 ans dans l'Eure
XXX-XXX-XXXX,Search_Urgence_Nonancourt,Intervention 7 j/7
XXX-XXX-XXXX,Search_Urgence_Nonancourt,Chantier laissé net
XXX-XXX-XXXX,Search_Refection_Nonancourt,81 avis 5/5 sur Google
XXX-XXX-XXXX,Search_Refection_Nonancourt,Devis gratuit
XXX-XXX-XXXX,Search_Refection_Nonancourt,Dépannage 24 h/24
XXX-XXX-XXXX,Search_Refection_Nonancourt,14 ans dans l'Eure
XXX-XXX-XXXX,Search_Refection_Nonancourt,Intervention 7 j/7
XXX-XXX-XXXX,Search_Refection_Nonancourt,Chantier laissé net
XXX-XXX-XXXX,Search_Marque,81 avis 5/5 sur Google
XXX-XXX-XXXX,Search_Marque,Devis gratuit
XXX-XXX-XXXX,Search_Marque,Dépannage 24 h/24
XXX-XXX-XXXX,Search_Marque,14 ans dans l'Eure
XXX-XXX-XXXX,Search_Marque,Intervention 7 j/7
XXX-XXX-XXXX,Search_Marque,Chantier laissé net
